n_total: 296, n_visits: 28, score: 24.000000000000000
n_total: 296, n_visits: 27, score: 22.000000000000000
n_total: 296, n_visits: 16, score: 10.000000000000000
n_total: 296, n_visits: 13, score: 7.000000000000000
n_total: 296, n_visits: 19, score: 13.000000000000000
n_total: 296, n_visits: 23, score: 18.000000000000000
n_total: 296, n_visits: 11, score: 5.000000000000000
n_total: 296, n_visits: 21, score: 15.000000000000000
n_total: 296, n_visits: 13, score: 7.000000000000000
n_total: 296, n_visits: 24, score: 19.000000000000000
n_total: 296, n_visits: 22, score: 17.000000000000000
n_total: 296, n_visits: 22, score: 17.000000000000000
n_total: 296, n_visits: 22, score: 17.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 1.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 1.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 1.000000000000000
n_total: 28, n_visits: 2, score: 0.000000000000000
n_total: 28, n_visits: 2, score: 1.000000000000000
n_total: 28, n_visits: 1, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 1, n_visits: 0, score: 0.000000000000000
n_total: 297, n_visits: 20, score: 14.000000000000000
n_total: 297, n_visits: 14, score: 8.000000000000000
n_total: 297, n_visits: 29, score: 24.000000000000000
n_total: 297, n_visits: 27, score: 22.000000000000000
n_total: 297, n_visits: 16, score: 10.000000000000000
